keys,pl
TR_CAMPAIGN,"Kampania"
TR_SKIRMISH,"Potyczka"
TR_EDITOR,"Edytor"
TR_SETTINGS,"Ustawienia"
TR_CONTROLS,"Sterowanie"
TR_QUIT,"Wyjdź"
TR_BACK,"Wstecz"
TR_NEXT,"Nast."
TR_PREV,"Poprz."
TR_SELECT,"Wybierz"
TR_START,"Uruchom"
TR_LOCKED,"Zablokowane"
TR_VIDEO,"Wideo"
TR_GRAPHICS,"Grafika"
TR_AUDIO,"Dźwięk"
TR_GAMEPLAY,"Rozgrywka"
TR_ON,"Wł."
TR_OFF,"Wył."
TR_MASTER,"Ogólny"
TR_MASTER_DESC,"Ogólny poziom głośności"
TR_SFX,"Efekty"
TR_SFX_DESC,"Głośność efektów dźwiękowych. Kliknięcia, eksplozje, etc."
TR_MUSIC,"Muzyka"
TR_MUSIC_DESC,"Głośność muzyki"
TR_HQ_CAM,"Przesuń kamerę do KG"
TR_HQ_CAM_DESC,"Automatycznie przesuń kamerę do Kwatery Głównej gracza na początku jego tury."
TR_CAM_SHAKE,"Wstrząsy kamery"
TR_CAM_SHAKE_DESC,"Potrząsaj kamerą przy wybuchach."
TR_DEF_CAM_ST,"Domyślny styl"
TR_DEF_CAM_ST_DESC,"Domyślny styl kamery po załadowaniu mapy."
TR_LANG,"Język"
TR_LANG_DESC,"Język interfejsu gry."
TR_MSAA,"MSAA"
TR_MSAA_DESC,"Intensywność wygładzania krawędzi."
TR_FXAA,"FXAA"
TR_FXAA_DESC,"Szybsza metoda wygładzania, może rozmywać obraz."
TR_VSYNC,"V-Sync"
TR_VSYNC_DESC,"Synchronizacja pionowa zapobiegająca rwaniu obrazu."
TR_FPS_L,"Limit FPS"
TR_FPS_L_DESC,"Limit klatek na sekundę."
TR_IPS_L,"FPS sterowania"
TR_IPS_L_DESC,"Częstotliwość przetwarzania sterowania. Wyższa wartość daje płynniejsze efekty, ale zużywa więcej CPU"
TR_FULLSCREEN,"Pełny ekran"
TR_FULLSCREEN_DESC,"Uruchom grę na pełnym ekranie. Działa tylko na urządzeniach pozwalających na tryb okienkowy."
TR_SHADOWS,"Cieniowanie"
TR_SHADOWS_DESC,"Ogólne cieniowanie mapy."
TR_DECO,"Dekoracje"
TR_DECO_DESC,"Pokazuj elementy dekoracyjne, jak trawę, kwiaty, etc."
TR_DECO_SHAD,"Cieniowanie dekoracji"
TR_DECO_SHAD_DESC,"Pokazuj cieniowanie elementów dekoracyjnych."
TR_GAME,"Gra"
TR_CAMERA,"Kamera"
TR_CAM_SW,"Zmień kamerę"
TR_ZOOM,"Zbliżenie"
TR_NAV,"Nawigacja"
TR_MENU,"Menu"
TR_END_TURN,"Koniec tury"
TR_UNIT_STATS,"Stat. jednostki"
TR_UNDO,"Cofnij"
TR_CHANGE_TILE,"Zmień klocek"
TR_ROTATE,"Obróć"
TR_CLEAR,"Wyczyść"
TR_ALTERNATIVE,"Alternatywa"
TR_BANS,"Blokady"
TR_AI_TOGGLE,"Przeł. AI jedn."
TR_SAVE,"Zapisz"
TR_LOAD,"Wczytaj"
TR_CANCEL,"Anuluj"
TR_SAP_DAWN,"Szafirowy Świt"
TR_RUBY_DUSK,"Rubinowy Zachód"
TR_AMBER_NOON,"Bursztynowe Południe"
TR_JADE_TWILIGHT,"Jadeitowy Zmierzch"
TR_OBS_NIGHT,"Obsydianowa Noc"
TR_HUMAN,"Człowiek"
TR_SWAP,"Zamień"
TR_SAVE_LOAD,"Zapisz/Wczytaj"
TR_MAIN_MENU,"Menu główne"
TR_ENDING_TURN,"Koniec tury"
TR_TURN,"Tura"
TR_CONTINUE,"Kontynuuj"
TR_RESTART,"Ponów"
TR_SAP_DAWN_WIN,"Szafirowy Świt zwycięża!"
TR_RUBY_DUSK_WIN,"Rubinowy Zachód zwycięża!"
TR_AMBER_NOON_WIN,"Bursztynowe Południe zwycięża!"
TR_JADE_TWI_WIN,"Jadeitowy Zmierzch zwycięża!"
TR_OBS_NIGHT_WIN,"Obsydianowa Noc zwycięża!"
TR_HP,"Życie"
TR_ARMOUR,"Pancerz"
TR_AP,"P. akcji"
TR_MP,"P. ruchu"
TR_ATTACK,"Atak"
TR_LEVEL,"Poziom"
TR_KILLS,"Zabicia"
TR_ATT_HELI,"Helikopter Szturmowy"
TR_INFANTRY,"Piechota"
TR_M_INF,"Piechota Zmotoryzowana"
TR_M_R_ART,"Artyleria Rakietowa"
TR_ROCK_ART,"Artyleria Rakietowa"
TR_SCOUT_HELI,"Helikopter Zwiadowczy"
TR_TANK,"Czołg"
TR_TRUCK,"Ciężarówka"
TR_CHANCELLOR,"Kanclerz"
TR_KING,"Król"
TR_LORD,"Lord"
TR_PRESIDENT,"Prezydent"
TR_ADMIRAL,"Admirał"
TR_CAPTAIN,"Kapitan"
TR_COMMANDO,"Komandos"
TR_GENERAL,"Generał"
TR_GENTLEMAN,"Dżentelmen"
TR_NOBLE,"Szlachcic"
TR_PRINCE,"Książe"
TR_WARLORD,"Watażka"
TR_DEEP_STRIKE,"Głęboki zrzut"
TR_HARD_ARMOUR,"Wzmocniony pancerz"
TR_INFILTRATION,"Infiltracja"
TR_INSPIRE,"Inspiracja"
TR_PREC_STRIKE,"Atak precyzyjny"
TR_PROMOTE,"Awans"
TR_SUPPLY,"Wsparcie"
TR_TARG_AUT,"Automat celowniczy"
TR_DROP_OFF,"Zrzut"
